week,sku,weekly_sales,feat_main_page,color,price,vendor,funct.numb,functionality
10/31/2016,1,135,TRUE,black,10.16,6,6,Mobile phone accessories
11/7/2016,1,102,TRUE,black,9.86,6,6,Mobile phone accessories
11/14/2016,1,110,TRUE,black,10.24,6,6,Mobile phone accessories
11/21/2016,1,127,TRUE,black,8.27,6,6,Mobile phone accessories
11/28/2016,1,84,TRUE,black,8.83,6,6,Mobile phone accessories
12/5/2016,1,87,TRUE,black,8.98,6,6,Mobile phone accessories
12/12/2016,1,64,TRUE,black,10.4,6,6,Mobile phone accessories
12/19/2016,1,128,TRUE,black,9.57,6,6,Mobile phone accessories
12/26/2016,1,23,TRUE,black,10.49,6,6,Mobile phone accessories
1/2/2017,1,154,TRUE,black,9.19,6,6,Mobile phone accessories
1/9/2017,1,85,TRUE,black,11.91,6,6,Mobile phone accessories
1/16/2017,1,11,FALSE,black,23.19,6,6,Mobile phone accessories
1/23/2017,1,19,FALSE,black,20.59,6,6,Mobile phone accessories
1/30/2017,1,17,FALSE,black,20.74,6,6,Mobile phone accessories
2/6/2017,1,17,FALSE,black,21.94,6,6,Mobile phone accessories
2/13/2017,1,17,FALSE,black,19.73,6,6,Mobile phone accessories
2/20/2017,1,13,FALSE,black,23.88,6,6,Mobile phone accessories
2/27/2017,1,8,FALSE,black,26.11,6,6,Mobile phone accessories
3/6/2017,1,8,FALSE,black,27.5,6,6,Mobile phone accessories
3/13/2017,1,5,FALSE,black,27.69,6,6,Mobile phone accessories
3/20/2017,1,6,FALSE,black,28.69,6,6,Mobile phone accessories
3/27/2017,1,9,FALSE,black,21.21,6,6,Mobile phone accessories
4/3/2017,1,6,TRUE,black,27.69,6,6,Mobile phone accessories
4/10/2017,1,4,FALSE,black,27.69,6,6,Mobile phone accessories
4/17/2017,1,13,FALSE,black,29.69,6,6,Mobile phone accessories
4/24/2017,1,7,FALSE,black,27.69,6,6,Mobile phone accessories
5/1/2017,1,9,FALSE,black,23.79,6,6,Mobile phone accessories
5/8/2017,1,4,FALSE,black,26.5,6,6,Mobile phone accessories
5/15/2017,1,5,FALSE,black,28.69,6,6,Mobile phone accessories
5/22/2017,1,9,FALSE,black,24.42,6,6,Mobile phone accessories
5/29/2017,1,7,FALSE,black,28.69,6,6,Mobile phone accessories
6/5/2017,1,8,FALSE,black,27.69,6,6,Mobile phone accessories
6/12/2017,1,11,FALSE,black,22.35,6,6,Mobile phone accessories
6/19/2017,1,5,FALSE,black,29.69,6,6,Mobile phone accessories
6/26/2017,1,8,FALSE,black,27.69,6,6,Mobile phone accessories
7/3/2017,1,7,FALSE,black,13.11,6,6,Mobile phone accessories
7/10/2017,1,10,FALSE,black,28.31,6,6,Mobile phone accessories
7/17/2017,1,7,FALSE,black,27.69,6,6,Mobile phone accessories
7/24/2017,1,5,FALSE,black,28.74,6,6,Mobile phone accessories
7/31/2017,1,5,FALSE,black,27.69,6,6,Mobile phone accessories
8/7/2017,1,13,FALSE,black,27.69,6,6,Mobile phone accessories
8/14/2017,1,4,FALSE,black,23.01,6,6,Mobile phone accessories
8/21/2017,1,7,FALSE,black,22.64,6,6,Mobile phone accessories
8/28/2017,1,10,FALSE,black,23.98,6,6,Mobile phone accessories
9/4/2017,1,7,FALSE,black,21.4,6,6,Mobile phone accessories
9/11/2017,1,5,FALSE,black,26.49,6,6,Mobile phone accessories
9/18/2017,1,6,FALSE,black,25.49,6,6,Mobile phone accessories
9/25/2017,1,11,FALSE,black,26.49,6,6,Mobile phone accessories
10/2/2017,1,12,FALSE,black,25.98,6,6,Mobile phone accessories
10/9/2017,1,4,FALSE,black,27.49,6,6,Mobile phone accessories
